# Spatial statistics process output
# Kratos version               : 9.2."2"-5dfe714-Release-x86_64
# Timestamp                    : 2023-02-16 13:19:57.431125
# Method name(s)               : variance, max, distribution
# Variable info(s)             : CFL_NUMBER[magnitude, element_non_historical]
# Modelpart name               : FluidModelPart.fluid_computational_model_part
# Output control variable name : STEP
# ----------------------------------------------------------------------
# Headers:
#"TIME" "STEP" "mean" "variance" "max_value" "max_id"                    "group_below_min {mean|variance}"                            "group_1 {mean|variance}"                    "group_above_max {mean|variance}"
  24.30    810   0.46       0.08        4.25  1.47e+06  2.83e+06 [#] =  96.54 [%] <   1.00 {   0.44 |   0.06 }  1.01e+05 [#] =   3.46 [%] <   2.50 {   1.19 |   0.03 }     70 [#] =   0.00 [%]>=   2.50 {   2.79 |   0.12 }
  24.60    820   0.46       0.08        4.24  1.47e+06  2.84e+06 [#] =  96.61 [%] <   1.00 {   0.43 |   0.06 }  99509 [#] =   3.39 [%] <   2.50 {   1.19 |   0.03 }     75 [#] =   0.00 [%]>=   2.50 {   2.83 |   0.13 }
  24.90    830   0.46       0.08        4.23  1.47e+06  2.84e+06 [#] =  96.68 [%] <   1.00 {   0.43 |   0.06 }  97400 [#] =   3.32 [%] <   2.50 {   1.19 |   0.03 }     71 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.12 }
  25.20    840   0.46       0.08        4.20  1.47e+06  2.84e+06 [#] =  96.76 [%] <   1.00 {   0.43 |   0.06 }  94883 [#] =   3.23 [%] <   2.50 {   1.19 |   0.04 }    103 [#] =   0.00 [%]>=   2.50 {   2.85 |   0.12 }
  25.50    850   0.45       0.08        4.17  1.47e+06  2.84e+06 [#] =  96.87 [%] <   1.00 {   0.43 |   0.06 }  91889 [#] =   3.13 [%] <   2.50 {   1.19 |   0.03 }     74 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.12 }
  25.80    860   0.45       0.07        4.13  1.47e+06  2.85e+06 [#] =  96.98 [%] <   1.00 {   0.43 |   0.06 }  88690 [#] =   3.02 [%] <   2.50 {   1.18 |   0.03 }     65 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.12 }
  26.10    870   0.45       0.07        4.08  1.47e+06  2.85e+06 [#] =  97.09 [%] <   1.00 {   0.43 |   0.06 }  85330 [#] =   2.91 [%] <   2.50 {   1.18 |   0.03 }     61 [#] =   0.00 [%]>=   2.50 {   2.80 |   0.12 }
  26.40    880   0.44       0.07        4.04  1.45e+06  2.85e+06 [#] =  97.20 [%] <   1.00 {   0.42 |   0.06 }  82246 [#] =   2.80 [%] <   2.50 {   1.18 |   0.03 }     62 [#] =   0.00 [%]>=   2.50 {   2.76 |   0.12 }
  26.70    890   0.44       0.07        3.97  1.47e+06  2.86e+06 [#] =  97.31 [%] <   1.00 {   0.42 |   0.06 }  78939 [#] =   2.69 [%] <   2.50 {   1.18 |   0.03 }     51 [#] =   0.00 [%]>=   2.50 {   2.81 |   0.13 }
  27.00    900   0.44       0.07        3.92  1.47e+06  2.86e+06 [#] =  97.43 [%] <   1.00 {   0.42 |   0.06 }  75315 [#] =   2.57 [%] <   2.50 {   1.18 |   0.03 }     46 [#] =   0.00 [%]>=   2.50 {   2.84 |   0.12 }
  27.30    910   0.43       0.07        3.96  1.57e+06  2.86e+06 [#] =  97.53 [%] <   1.00 {   0.42 |   0.06 }  72398 [#] =   2.47 [%] <   2.50 {   1.18 |   0.03 }     44 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.14 }
  27.60    920   0.43       0.07        4.38  1.57e+06  2.86e+06 [#] =  97.62 [%] <   1.00 {   0.41 |   0.05 }  69750 [#] =   2.38 [%] <   2.50 {   1.18 |   0.03 }     39 [#] =   0.00 [%]>=   2.50 {   2.82 |   0.17 }
  27.90    930   0.43       0.07        4.46  1.57e+06  2.87e+06 [#] =  97.71 [%] <   1.00 {   0.41 |   0.05 }  67149 [#] =   2.29 [%] <   2.50 {   1.18 |   0.03 }     31 [#] =   0.00 [%]>=   2.50 {   2.87 |   0.21 }
