# Level force for level 45
# start: 0.0, 0.0, 206.0183537037037
# center: 0.0, 0.0, 208.33316666666667
# end: 0.0, 0.0, 210.64797962962962
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
3.7499999999999902 24260.37437584 133812.93666869 -694.91486814 41249.24684113 77489.09020710 1437510.13809336 111774.71016419 77465.35969364 -694.91486814 83960.68331362 25625.43899322 1437510.13809336
3.77999999999999 23429.32997885 135430.50461849 -708.62397932 41795.10538547 78162.12572622 1454853.49120375 112330.86630195 79196.79008855 -708.62397932 84822.57157144 25715.36669449 1454853.49120375
3.80999999999999 22608.02452192 136754.83982370 -722.08535852 42222.04319948 78710.35939792 1469001.43123508 112686.56204810 80713.98715074 -722.08535852 85512.12194180 25801.13581800 1469001.43123508
3.8399999999999896 21929.78929669 137671.04936719 -735.14956107 42468.29975654 79106.48343880 1478701.74223357 112854.83530228 81841.42985893 -735.14956107 85966.35361871 25907.10813208 1478701.74223357
3.8699999999999894 21508.56403245 138111.86899057 -747.73225549 42493.18169089 79340.68353290 1483222.40685130 112868.69060651 82450.98764465 -747.73225549 86149.55227791 26055.11842227 1483222.40685130
3.8999999999999893 21428.00740044 138061.66062783 -759.82304359 42279.98158797 79420.58245995 1482395.25904884 112776.22579198 82472.44711165 -759.82304359 86055.29411251 26262.37073392 1482395.25904884
3.929999999999989 21734.25112070 137554.98904995 -771.48387646 41836.31656035 79369.43152327 1476600.25347619 112634.50189472 81897.62919181 -771.48387646 85705.40638871 26539.92010933 1476600.25347619
3.959999999999989 22432.85518757 136670.22623902 -782.84112526 41191.97906765 79222.81255953 1466695.28599857 112502.86778442 80778.01973540 -782.84112526 85146.11571474 26891.86025629 1466695.28599857
3.9899999999999887 23490.03641672 135519.07791353 -794.06918438 40394.69069701 79024.25981567 1453901.79115009 112436.42301338 79216.49493222 -794.06918438 84441.94970970 27315.23027812 1453901.79115009
4.019999999999989 24837.93798631 134233.39135549 -805.37064273 39504.26131390 78820.38444877 1439660.26257875 112480.41566995 77354.26690832 -805.37064273 83668.15940028 27800.69727863 1439660.26257875
4.049999999999989 26383.07156141 132950.67573421 -816.95246980 38585.84427728 78655.91281489 1425472.05499145 112665.97318459 75354.67556539 -816.95246980 82902.44147810 28333.81718555 1425472.05499145
4.079999999999989 28017.09744736 131799.89271125 -829.00560956 37703.03981806 78569.30362036 1412744.27085569 113007.67748998 73385.51830159 -829.00560956 82216.96250976 28896.81225636 1412744.27085569
4.10999999999999 29628.60972700 130888.96873913 -841.68390894 36911.54043625 78589.23960375 1402653.37647649 113503.06823305 71601.88652286 -841.68390894 81671.38479862 29470.58370559 1402653.37647649
4.13999999999999 31114.70310805 130295.15583347 -855.08851623 36253.95452743 78732.34813642 1396040.23641417 114134.00580791 70131.17068330 -855.08851623 81307.59435718 30036.76017483 1396040.23641417
4.16999999999999 32391.17437078 130059.04648477 -869.26188185 35756.22906743 79002.35094497 1393345.27769068 114869.65277221 69061.61467586 -869.26188185 81146.57012611 30579.62603963 1393345.27769068
4.19999999999999 33400.32544433 130182.68620508 -884.18592470 35425.93288327 79390.55938746 1394588.01125559 115670.65682421 68435.46359317 -884.18592470 81187.52027669 31087.68553344 1394588.01125559
4.229999999999991 34115.62669233 130631.67933104 -899.78830933 35252.53779523 79877.59723491 1399390.36558889 116493.93727134 68247.15531419 -899.78830933 81409.29919874 31554.68214065 1399390.36558889
